Aaron Finch,18,18,0,486,351,27,4,0,138.4615385,77,0,0,0,0,
Tom Curran,17,5,3,51,32,25.5,0,0,159.375,18,378,548,13,8.698412698,
Sam Curran,12,9,7,134,83,67,1,0,161.4457831,52,234,314,6,8.051282051,
Marcus Stoinis,17,17,5,500,375,41.66666667,1,0,133.3333333,70,294,427,12,8.714285714,
Sam Billings,18,17,1,365,256,22.8125,2,0,142.578125,70,0,0,0,0,
Rory Burns,18,17,6,365,265,33.18181818,1,0,137.7358491,53,0,0,0,0,
Phil Salt,18,18,2,546,388,34.125,3,1,140.7216495,100,0,0,0,0,
Adam Zampa,18,3,1,4,7,2,0,0,57.14285714,2,399,589,18,8.857142857,
Ravindra Jadeja,18,13,3,138,90,13.8,0,0,153.3333333,38,360,474,15,7.9,
Tymal Mills,17,1,1,9,10,9,0,0,90,9,368,544,8,8.869565217,
Ben Foakes,17,13,7,287,199,47.83333333,1,0,144.2211055,56,0,0,0,0,
Will Jacks,3,2,0,9,8,4.5,0,0,112.5,7,12,17,0,8.5,
Harry Brook,4,1,0,6,7,6,0,0,85.71428571,6,30,35,0,7,
Ian Cockbain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacob Lintott,1,1,1,5,5,5,0,0,100,5,18,43,0,14.33333333,
Jordan Cox,1,1,0,34,26,34,0,0,130.7692308,34,0,0,0,0,
Liam Livingstone,18,18,7,792,584,72,9,0,135.6164384,95,216,363,9,10.08333333,
Steven Croft,17,0,0,0,0,0,0,0,0,0,132,194,5,8.818181818,
Ross Taylor,18,8,4,271,158,67.75,3,0,171.5189873,69,0,0,0,0,
Olly Stone,17,0,0,0,0,0,0,0,0,0,368,491,10,8.005434783,
Glenn Phillips,18,15,8,346,233,49.42857143,2,0,148.4978541,59,0,0,0,0,
Luis Reece,18,6,5,101,47,101,0,0,214.893617,47,288,413,12,8.604166667,
Ed Barnard,2,1,1,5,3,5,0,0,166.6666667,5,30,56,0,11.2,
Matt Critchley,18,3,2,18,16,18,0,0,112.5,12,281,439,18,9.37366548,
Kagiso Rabada,18,0,0,0,0,0,0,0,0,0,414,539,16,7.811594203,
Faf du Plessis,18,17,5,700,462,58.33333333,7,0,151.5151515,84,0,0,0,0,
Oscar Magee,18,18,4,797,546,56.92857143,4,2,145.970696,106,0,0,0,0,
Reece Topley,18,0,0,0,0,0,0,0,0,0,402,548,17,8.179104478,
Dan Christian,18,3,1,41,25,20.5,0,0,164,19,303,493,20,9.762376238,
Mitch Marsh,18,17,4,480,365,36.92307692,4,0,131.5068493,73,319,502,8,9.44200627,
Alex Hales,18,18,3,613,465,40.86666667,5,0,131.827957,93,0,0,0,0,
Dan Lawrence,18,10,6,189,114,47.25,1,0,165.7894737,50,172,270,5,9.418604651,
Ben Duckett,18,18,4,725,490,51.78571429,4,2,147.9591837,114,0,0,0,0,
Tom Westley,16,4,1,32,25,10.66666667,0,0,128,22,0,0,0,0,
Ben Coad,18,2,2,6,5,6,0,0,120,5,408,574,9,8.441176471,
Benny Howell,18,3,1,19,11,9.5,0,0,172.7272727,14,400,606,10,9.09,
Nicholas Pooran,18,13,4,402,254,44.66666667,2,0,158.2677165,58,0,0,0,0,
Rishabh Pant,18,16,7,504,327,56,3,0,154.1284404,87,0,0,0,0,
Matt Milnes,3,0,0,0,0,0,0,0,0,0,66,117,2,10.63636364,
Hugo Friedrichs,17,2,0,4,7,2,0,0,57.14285714,2,385,494,17,7.698701299,
